#element,sp_num,ritz_wl_vac(nm),Aki(s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type
Al,1,219.91827000,1.75000000E+06,C,0.00000000,5.63598000,2,2,
Al,1,220.46181000,3.49000000E+06,C,0.01389380,5.63598000,4,2,
Al,1,220.46676000,4.37000000E+07,C+,0.00000000,5.62196000,2,4,
Al,1,221.00603000,5.20000000E+07,C+,0.01389380,5.62213710,4,6,
Al,1,221.01301000,8.67000000E+06,C+,0.01389380,5.62196000,4,4,
Al,2,224.30470000,3.03000000E+07,C+,11.82196800,17.34774300,1,3,
Al,1,225.80070000,3.77000000E+06,C,0.00000000,5.48916890,2,2,
Al,1,226.34644000,6.83000000E+07,B,0.00000000,5.47593550,2,4,
Al,1,226.37374000,7.50000000E+06,C,0.01389380,5.48916890,4,2,
Al,1,226.90963000,7.58000000E+07,B,0.01389380,5.47623910,4,6,
Al,1,226.92225000,1.26000000E+07,C+,0.01389380,5.47593550,4,4,
Al,2,232.41980000,3.46000000E+07,C+,11.84661800,17.17947000,7,9,
Al,2,232.54370000,3.85000000E+06,C,11.84661800,17.17663000,7,7,
Al,2,232.54960000,3.07000000E+07,C+,11.84675300,17.17663000,5,7,
Al,2,232.63840000,1.52000000E+05,E,11.84661800,17.17446000,7,5,
Al,2,232.64430000,5.38000000E+06,C,11.84675300,17.17446000,5,5,
Al,2,232.64930000,2.90000000E+07,C+,11.84686900,17.17446000,3,5,
Al,1,236.70518000,7.61000000E+07,C+,0.00000000,5.23631660,2,4,
Al,1,237.20695000,5.76000000E+06,C,0.00000000,5.22524100,2,2,
Al,1,237.31220000,9.07000000E+07,B,0.01389380,5.23681770,4,6,
Al,1,237.33497000,1.51000000E+07,C+,0.01389380,5.23631660,4,4,
Al,1,237.83941000,1.14000000E+07,C+,0.01389380,5.22524100,4,2,
Al,2,247.52560000,4.60000000E+07,C+,10.59833700,15.60576890,5,3,
Al,2,252.64840000,1.94000000E+07,C+,11.82196800,16.72787400,1,3,
Al,1,256.79823000,1.92000000E+07,B,0.00000000,4.82663210,2,4,
Al,1,257.50940000,3.60000000E+07,C+,0.01389380,4.82719680,4,6,
Al,1,257.53962000,5.99000000E+06,C+,0.01389380,4.82663210,4,4,
Al,2,263.15460000,2.48000000E+08,B+,10.59833700,15.30839000,5,7,
Al,2,263.76910000,2.85000000E+07,C+,11.84661800,16.54570000,7,9,
Al,2,263.81780000,3.18000000E+06,C+,11.84661800,16.54483300,7,7,
Al,2,263.82540000,2.53000000E+07,C+,11.84675300,16.54483300,5,7,
Al,2,263.85520000,1.25000000E+05,E,11.84661800,16.54416800,7,5,
Al,2,263.86280000,4.44000000E+06,C+,11.84675300,16.54416800,5,5,
Al,2,263.86920000,2.40000000E+07,C+,11.84686900,16.54416800,3,5,
Al,1,265.24758000,1.42000000E+07,B,0.00000000,4.67289090,2,2,
Al,2,266.03550000,3.35000000E-03,A+,0.00000000,4.65905200,1,5,M2
Al,1,266.03863000,2.84000000E+07,B,0.01389380,4.67289090,4,2,
Al,2,266.91550000,3.28000000E+03,A+,0.00000000,4.64369300,1,3,
Al,2,281.61850000,3.57000000E+08,A,7.42070500,11.82196800,3,1,
Al,2,299.42730000,4.04000000E+06,C,13.07134700,17.21085000,1,3,
Al,2,299.55280000,5.44000000E+06,C+,13.07308000,17.21085000,3,5,
Al,2,299.55280000,3.03000000E+06,C,13.07308000,17.21085000,3,3,
Al,2,299.81490000,7.26000000E+06,C+,13.07672900,17.21088100,5,7,
Al,2,299.81720000,2.01000000E+05,D,13.07672900,17.21085000,5,3,
Al,2,299.81720000,1.81000000E+06,C,13.07672900,17.21085000,5,5,
Al,2,302.27920000,2.68000000E+06,E,13.07134700,17.17179800,1,3,
Al,2,302.40700000,8.02000000E+06,D,13.07308000,17.17179800,3,3,
Al,2,302.67650000,1.33000000E+07,C,13.07672900,17.17179800,5,3,
Al,2,307.46840000,9.02000000E+06,C,13.64939900,17.68064900,5,7,
Al,1,308.21510000,5.87000000E+07,B+,0.00000000,4.02148360,2,4,
Al,2,308.85180000,1.08000000E+07,B,13.25646000,17.26965400,3,5,
Al,1,309.27084000,7.29000000E+07,B+,0.01389380,4.02165020,4,6,
Al,1,309.28369000,1.16000000E+07,B,0.01389380,4.02148360,4,4,
Al,2,327.57660000,7.41000000E+06,C+,11.82196800,15.60576890,1,3,
Al,2,331.33460000,1.33000000E+06,C,11.84661800,15.58750460,7,5,
Al,2,331.34660000,2.37000000E+05,D,11.84675300,15.58750460,5,5,
Al,2,331.35680000,1.58000000E+04,E,11.84686900,15.58750460,3,5,
Al,2,331.48810000,1.18000000E+06,C,11.84675300,15.58590830,5,3,
Al,2,331.49830000,3.94000000E+05,D,11.84686900,15.58590830,3,3,
Al,2,331.56080000,1.58000000E+06,D,11.84686900,15.58520300,3,1,
Al,2,335.14620000,1.04000000E+07,C,13.64939900,17.34774300,5,3,
Al,2,342.89000000,5.78000000E+06,C+,13.64939900,17.26422220,5,7,
Al,2,353.48510000,8.11000000E+05,C,13.84126500,17.34774300,1,3,
Al,2,358.65570000,2.35000000E+08,A,11.84661800,15.30254600,7,9,
Al,2,358.69310000,2.62000000E+07,B,11.84661800,15.30218600,7,7,
Al,2,358.70720000,2.09000000E+08,B+,11.84675300,15.30218600,5,7,
Al,2,358.71850000,1.03000000E+06,C,11.84661800,15.30194100,7,5,
Al,2,358.73250000,3.66000000E+07,B,11.84675300,15.30194100,5,5,
Al,2,358.74450000,1.97000000E+08,B+,11.84686900,15.30194100,3,5,
Al,2,364.92040000,1.26000000E+07,C+,13.07134700,16.46794700,1,3,
Al,2,365.10670000,9.45000000E+06,C+,13.07308000,16.46794700,3,3,
Al,2,365.10870000,1.70000000E+07,C+,13.07308000,16.46792800,3,5,
Al,2,365.50040000,2.26000000E+07,B,13.07672900,16.46794000,5,7,
