# element,sp_num,ritz_wl_vac(nm),Aki(s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type,
Sn,2,361.97860,6.2e+06,D,8.9328458,12.3570497,6,6,,
Sn,2,362.04872,2.0e+06,E,8.9328458,12.3563865,6,8,,
Sn,1,365.57767,4.1e+06,D,2.1278787,5.5183726,1,3,,
Sn,2,371.51527,1.6e+07,D+,8.8640361,12.2003442,2,2,,
Sn,1,380.10104,2.8e+07,D,1.0678703,4.32881927,5,3,,
Sn,2,384.13749,2.9e+07,D+,8.97365992,12.2003442,4,2,,
Sn,2,398.45,8.e+04,E,11.0703327,14.1811,8,8,,
Sn,2,398.45,2.4e+06,D+,11.0703327,14.1811,8,10,,
Sn,2,411.03,3.4e+06,D+,11.0703327,14.08591,8,10,,
Sn,2,411.03,1.2e+05,E,11.0703327,14.08591,8,8,,
Sn,2,411.13,3.3e+06,D+,11.0710518,14.08591,6,8,,
Sn,2,429.327,1.8e+05,E,11.0703327,13.95740,8,8,,
Sn,2,429.327,5.1e+06,D+,11.0703327,13.95740,8,10,,
Sn,2,429.433,4.9e+06,D+,11.0710518,13.95740,6,8,,
Sn,2,432.30922,7.0e+04,D+,5.9968906,8.8640361,4,2,,
Sn,1,452.47334,2.6e+07,D,2.1278787,4.86725425,1,3,,
Sn,2,457.903,2.9e+05,E,11.0703327,13.77722,8,8,,
Sn,2,457.903,8.0e+06,D+,11.0703327,13.77722,8,10,,
Sn,2,458.025,7.7e+06,D+,11.0710518,13.77722,6,8,,
Sn,2,461.82363,6.4e+05,C+,6.2897462,8.97365992,6,4,,
Sn,2,479.20730,4.0e+05,C+,8.8532333,11.4397872,4,4,,
Sn,2,487.7209,5.6e+06,B+,8.8532333,11.3946370,4,2,,
Sn,2,491.78,3.4e+06,D+,11.4397872,13.96024,4,6,,
Sn,2,494.42561,4.9e+06,B+,8.9328458,11.4397872,6,4,,
Sn,2,507.111,5.e+05,E,11.0703327,13.51456,8,8,,
Sn,2,507.111,1.4e+07,D+,11.0703327,13.51456,8,10,,
Sn,2,507.260,1.3e+07,D+,11.0710518,13.51456,6,8,,
Sn,2,533.23391,9.9e+07,B+,8.8640361,11.1885267,2,4,,
Sn,2,556.19094,1.13e+08,B+,8.97365992,11.2022072,4,6,,
Sn,2,558.88153,7.8e+07,B+,8.8532333,11.0710518,4,6,,
Sn,2,559.62636,1.91e+07,B+,8.97365992,11.1885267,4,4,,
Sn,1,563.16738,2.4e+06,D,2.1278787,4.32881927,1,3,,
Sn,2,579.69075,5.1e+06,B+,8.9328458,11.0710518,6,6,,
Sn,2,579.88578,7.7e+07,B+,8.9328458,11.0703327,6,8,,
Sn,2,596.578,7.6e+06,D+,11.4397872,13.517467,4,6,,
Sn,1,597.02927,9.6e+06,D,4.78937023,6.8654805,5,3,,
Sn,1,603.76046,5.0e+06,D,4.78937023,6.8423347,5,5,,
Sn,1,606.91169,4.6e+06,D,4.2949066,6.3372116,1,3,,
Sn,1,607.32652,6.3e+06,D,4.32881927,6.3697294,3,1,,
Sn,2,607.76304,2.7e+07,D+,11.0703327,13.1097770,8,10,,
Sn,2,607.76304,1.0e+06,D+,11.0703327,13.1097770,8,8,,
Sn,2,607.97742,2.6e+07,D+,11.0710518,13.1097770,6,8,,
Sn,1,617.15977,4.9e+06,D,4.32881927,6.3372116,3,3,,
Sn,2,645.35421,7.0e+07,B+,7.0530101,8.97365992,2,4,,
Sn,2,666.11,1.6e+07,D+,11.2022072,13.06301,6,8,,
Sn,2,676.08103,3.82e+07,B+,8.8640361,10.6973961,2,2,,
Sn,2,684.41863,6.0e+07,B+,7.0530101,8.8640361,2,2,,
Sn,2,719.07778,7.2e+07,B+,8.97365992,10.6973961,4,2,,
Sn,2,723.005,1.2e+07,D+,11.3946370,13.10901,2,4,,
Sn,2,738.71637,2.27e+06,B+,7.2957486,8.97365992,4,4,,
Sn,2,740.827,1.3e+07,D+,11.4397872,13.11292,4,6,,
Sn,2,774.1423,1.89e+07,B+,7.3725320,8.97365992,6,4,,
Sn,2,782.596,4.7e+06,D+,11.3946370,12.978469,2,2,,
Sn,2,790.3532,1.96e+07,B+,7.2957486,8.8640361,4,2,,
Sn,2,805.561,8.6e+06,D+,11.4397872,12.978469,4,2,,
Sn,2,905.8886,6.8e+07,D+,11.0703327,12.4386045,8,10,,
Sn,2,905.8886,2.4e+06,D+,11.0703327,12.4386045,8,8,,
Sn,2,906.3649,6.5e+07,D+,11.0710518,12.4386045,6,8,,
