#element,sp_num,g,Level(eV),Uncertainty(eV)
Al,2,5,17.95070900,
Al,2,7,17.95098400,
Al,2,3,17.97040600,
Al,2,9,17.97363000,
Al,2,7,17.97363000,
Al,2,11,17.97363000,
Al,2,9,17.97363000,
Al,2,9,17.97674000,
Al,2,13,17.97674000,
Al,2,11,17.97674000,
Al,2,11,17.97674000,
Al,2,5,17.99376600,
Al,2,7,17.99406600,
Al,2,9,17.99448500,
Al,2,1,17.99579100,
Al,2,3,17.99643800,
Al,2,5,17.99748300,
Al,2,1,18.07393900,
Al,2,3,18.08119800,
Al,2,5,18.09692500,
Al,2,3,18.11559700,
Al,2,3,18.12506000,
Al,2,5,18.12506000,
Al,2,7,18.12511000,
Al,2,1,18.12551000,
Al,2,5,18.13591000,
Al,2,7,18.13624700,
Al,2,3,18.13887800,
Al,2,9,18.15338000,
Al,2,7,18.15338000,
Al,2,11,18.15338000,
Al,2,9,18.15338000,
Al,2,9,18.15563000,
Al,2,13,18.15563000,
Al,2,11,18.15563000,
Al,2,11,18.15563000,
Al,2,5,18.16367300,
Al,2,7,18.16380800,
Al,2,9,18.16399100,
Al,2,1,18.17544500,
Al,2,3,18.17570500,
Al,2,5,18.17634400,
Al,2,3,18.25462100,
Al,2,3,18.25925500,
Al,2,5,18.26121700,
Al,2,7,18.26127300,
Al,2,3,18.26138000,
Al,2,1,18.26175400,
Al,2,5,18.26843800,
Al,2,7,18.26865900,
Al,2,11,18.28189000,
Al,2,9,18.28189000,
Al,2,7,18.28189000,
Al,2,9,18.28189000,
Al,2,9,18.28358000,
Al,2,13,18.28358000,
Al,2,11,18.28358000,
Al,2,11,18.28358000,
Al,2,5,18.28801100,
Al,2,7,18.28807500,
Al,2,9,18.28818000,
Al,2,5,18.29689000,
Al,2,3,18.35021800,
Al,2,3,18.35662000,
Al,2,7,18.36122000,
Al,2,1,18.36189000,
Al,2,5,18.36641500,
Al,2,7,18.36651000,
Al,2,7,18.37695000,
Al,2,11,18.37695000,
Al,2,9,18.37695000,
Al,2,9,18.37695000,
Al,2,5,18.38095100,
Al,2,7,18.38097000,
Al,2,9,18.38103900,
Al,2,3,18.42212300,
Al,2,3,18.43362000,
Al,2,1,18.43767000,
Al,2,7,18.44087200,
Al,2,11,18.44920000,
Al,2,9,18.44920000,
Al,2,7,18.44920000,
Al,2,9,18.44920000,
Al,2,5,18.45204000,
Al,2,9,18.45204000,
Al,2,7,18.45204000,
Al,2,3,18.48033800,
Al,2,1,18.49624000,
Al,2,7,18.49864000,
Al,2,9,18.50532000,
Al,2,9,18.50532000,
Al,2,7,18.50532000,
Al,2,11,18.50532000,
Al,2,5,18.50749000,
Al,2,9,18.50749000,
Al,2,7,18.50749000,
Al,2,3,18.52784800,
Al,2,1,18.54272000,
Al,2,7,18.54444000,
Al,2,5,18.55163000,
Al,2,9,18.55163000,
Al,2,7,18.55163000,
Al,2,3,18.56678000,
Al,2,1,18.58015000,
Al,2,7,18.58134000,
Al,2,9,18.58725000,
Al,2,3,18.59886000,
Al,2,7,18.61147000,
Al,2,5,18.61644000,
Al,2,9,18.61644000,
Al,2,7,18.61644000,
Al,2,7,18.63649000,
Al,2,5,18.64064000,
Al,2,7,18.64064000,
Al,2,9,18.64064000,
Al,2,7,18.65743000,
Al,2,3,18.65872900,
Al,2,5,18.66175100,
Al,2,7,18.66509800,
Al,2,7,18.67506000,
Al,2,7,18.69017000,
Al,2,,18.82855000,5.00000000E-05
Al,2,,25.48441000,
Cu,1,2,0.00000000,0.00000000E+00
Cu,1,6,1.38894800,3.00000000E-06
Cu,1,4,1.64222560,2.40000000E-06
Cu,1,2,3.78589770,2.40000000E-06
Cu,1,4,3.81669200,2.20000000E-06
Cu,1,6,4.83770100,4.00000000E-06
Cu,1,4,4.97350300,4.00000000E-06
Cu,1,2,5.07638200,4.00000000E-06
Cu,1,10,5.07208900,6.00000000E-06
Cu,1,8,5.10238000,4.00000000E-06
Cu,1,6,5.15314700,4.00000000E-06
Cu,1,4,5.24485100,4.00000000E-06
Cu,1,2,5.34833480,2.10000000E-06
Cu,1,8,5.39505000,4.00000000E-06
