# element,sp_num,ritz_wl_vac(nm),Aki(s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type,
Cu,2,221.851209,2.6e+08,C,9.06349793,14.65037786,3,5,,
Cu,2,222.469062,1.3e+08,C,9.12471804,14.69608333,3,5,,
Cu,1,222.57017,4.4e+07,C+,0.0000000,5.568835,2,2,,
Cu,2,222.677999,2.9e+08,C,8.86410828,14.43024652,5,5,,
Cu,2,222.886745,3.88e+08,B+,2.97541889,8.53634465,3,1,,
Cu,2,222.985346,2.1e+08,C,8.86410828,14.42257530,5,7,,
Cu,2,223.014604,1.9e+08,C,9.06349793,14.62123579,3,3,,
Cu,2,223.039901,2.0e+07,C,8.78322249,14.34033006,7,9,,
Cu,2,223.095279,2.2e+08,C,9.09464957,14.65037786,5,5,,
Cu,2,223.158204,1.14e+08,B,8.78322249,14.33738437,7,5,,
Cu,2,224.214217,1.07e+07,C,8.86410828,14.39211349,5,7,,
Cu,2,224.261764,2.5e+08,C+,3.25638920,8.78322249,5,7,,
Cu,2,224.271791,5.8e+07,C,9.09464957,14.62123579,5,3,,
Cu,2,224.309395,4.0e+07,C,9.12471804,14.65037786,3,5,,
Cu,1,224.42670,1.85e+06,C+,0.0000000,5.522772,2,4,,
Cu,2,224.700170,3.3e+08,B,2.71881633,8.23486741,7,5,,
Cu,2,224.896667,9.1e+07,B,8.91695547,14.42818752,7,9,,
Cu,2,225.185601,5.8e+06,C,9.09464957,14.59881086,5,7,,
Cu,2,225.498778,1.9e+08,C,9.12471804,14.62123579,3,3,,
Cu,2,226.321318,1.54e+08,B+,8.86410828,14.34065139,5,3,,
Cu,2,226.378578,1.8e+08,C,8.91695547,14.39211349,7,7,,
Cu,2,226.456423,1.4e+06,E,8.86410828,14.33738437,5,5,,
Cu,2,226.536424,1.25e+08,B,9.06349793,14.53484133,3,3,,
Cu,2,227.474107,4.e+06,E,8.23486741,13.68365916,5,5,,
Cu,2,227.625797,6.3e+07,C+,2.97541889,8.42057990,3,3,,
Cu,2,227.833737,1.32e+08,B+,9.09464957,14.53484133,5,3,,
Cu,2,228.664494,1.52e+08,B+,8.91695547,14.33738437,7,5,,
Cu,2,228.941619,7.e+06,D,8.23486741,13.64873568,5,3,,
Cu,2,229.100110,1.76e+08,B+,9.12471804,14.53484133,3,3,,
Cu,2,229.269060,4.e+05,E,3.25638920,8.66252610,5,5,,
Cu,2,229.436758,3.4e+07,C+,2.83268156,8.23486741,5,5,,
Cu,2,229.948891,1.07e+08,C,9.06349793,14.45365331,3,1,,
Cu,2,230.951890,1.02e+07,C,9.06349793,14.43024652,3,5,,
Cu,2,233.617057,4.9e+07,C,9.12471804,14.43024652,3,5,,
Cu,2,234.873311,2.8e+07,B,9.06349793,14.34065139,3,3,,
Cu,2,235.501447,2.5e+07,C+,8.42057990,13.68365916,3,5,,
Cu,2,235.664033,3.0e+06,C+,2.97541889,8.23486741,3,5,,
Cu,2,236.268143,6.3e+06,C+,9.09464957,14.34065139,5,3,,
Cu,1,236.31997,7.e+04,E,0.0000000,5.244851,2,4,,
Cu,2,236.415386,3.4e+06,B,9.09464957,14.33738437,5,5,,
Cu,2,236.988902,5.3e+07,B,3.25638920,8.48643755,5,7,,
Cu,2,237.074698,2.4e+07,C+,8.42057990,13.64873568,3,3,,
Cu,2,237.630277,1.61e+08,C+,9.12471804,14.34065139,3,3,,
Cu,2,237.779223,3.5e+06,D+,9.12471804,14.33738437,3,5,,
Cu,2,238.485893,6.e+05,E,8.48643755,13.68365916,7,5,,
Cu,2,238.494408,7.e+06,E,8.23486741,13.43190349,5,5,,
Cu,2,240.011404,6.9e+06,C+,3.25638920,8.42057990,5,3,,
Cu,2,240.333713,1.06e+08,C+,8.23486741,13.39213301,5,7,,
Cu,2,241.418856,2.e+06,E,9.06349793,14.19758413,3,3,,
Cu,2,242.443430,5.0e+07,C+,8.53634465,13.64873568,1,3,,
Cu,2,242.892746,1.93e+07,C+,9.09464957,14.19758413,5,3,,
Cu,1,244.16333,2.01e+06,B,0.0000000,5.076382,2,2,,
Cu,2,244.332555,2.00e+07,B,9.12471804,14.19758413,3,3,,
Cu,2,246.850111,1.30e+07,C+,8.66252610,13.68365916,5,5,,
Cu,2,247.333345,5.9e+07,C+,8.42057990,13.43190349,3,5,,
Cu,2,248.579176,1.42e+08,C+,8.66252610,13.64873568,5,3,,
Cu,2,248.965236,1.0e+06,D+,3.25638920,8.23486741,5,5,,
Cu,1,249.21428,2.79e+06,B,0.0000000,4.973503,2,4,,
Cu,2,250.627258,2.0e+08,C+,8.48643755,13.43190349,7,5,,
Cu,2,252.659232,2.7e+07,C+,8.48643755,13.39213301,7,7,,
Cu,2,252.930385,1.06e+08,C+,8.78322249,13.68365916,7,5,,
Cu,2,254.480482,1.94e+08,B,8.52154401,13.39213301,9,7,,
Cu,2,257.175556,1.10e+07,C+,8.86410828,13.68365916,5,5,,
Cu,2,259.052826,6.0e+07,C+,8.86410828,13.64873568,5,3,,
Cu,2,259.881194,4.2e+07,C+,8.66252610,13.43190349,5,5,,
Cu,2,260.026973,1.01e+08,C+,8.91695547,13.68365916,7,5,,
Cu,1,261.83685,3.07e+07,C,1.388948,6.1227049,6,4,,
Cu,2,262.066627,1.3e+06,E,8.66252610,13.39213301,5,7,,
Cu,2,266.629047,2.0e+07,C+,8.78322249,13.43190349,7,5,,
Cu,2,268.275015,9.e+05,E,9.06349793,13.68365916,3,5,,
Cu,2,268.929932,5.9e+07,C+,8.78322249,13.39213301,7,7,,
Cu,2,270.096252,1.02e+08,C+,9.09464957,13.68365916,5,5,,
Cu,2,270.318448,1.17e+08,C+,9.06349793,13.64873568,3,3,,
Cu,2,271.350740,8.9e+07,C+,8.86410828,13.43190349,5,5,,
Cu,2,271.877770,8.0e+07,C+,9.12471804,13.68365916,3,5,,
Cu,2,272.167628,3.9e+07,C+,9.09464957,13.64873568,5,3,,
Cu,2,273.734194,1.9e+06,D,8.86410828,13.39213301,5,7,,
Cu,2,273.976664,4.0e+06,D,9.12471804,13.64873568,3,3,,
Cu,2,274.527056,1.40e+07,C+,8.91695547,13.43190349,7,5,,
Cu,1,276.63913,9.6e+06,C+,1.6422256,6.1227049,4,4,,
Cu,2,276.966882,6.7e+07,C+,8.91695547,13.39213301,7,7,,
Cu,1,282.4368,7.8e+06,C+,1.388948,5.777459,6,6,,
Cu,2,283.736814,2.3e+07,C+,9.06349793,13.43190349,3,5,,
Cu,2,285.774808,5.e+05,E,9.09464957,13.43190349,5,5,,
Cu,2,287.769898,2.3e+07,C+,9.12471804,13.43190349,3,5,,
Cu,2,288.419598,1.20e+07,C+,9.09464957,13.39213301,5,7,,
Cu,1,296.1164,3.76e+06,C+,1.388948,5.574734,6,8,,
Cu,1,306.3410,1.55e+06,C+,1.6422256,5.688311,4,4,,
Cu,1,319.4096,1.55e+06,C+,1.6422256,5.522772,4,4,,
Cu,1,324.75358,1.395e+08,AA,0.0000000,3.8166920,2,4,,
Cu,1,327.39521,1.376e+08,AA,0.0000000,3.7858977,2,2,,
Cu,2,329.041683,5.9e+07,D+,14.32872921,18.09568344,11,13,,
Cu,2,330.08808,5.4e+07,D+,14.59881086,18.3538240,7,9,,
Cu,2,330.122844,5.6e+07,D+,14.34033006,18.09494785,9,11,,
Cu,2,331.62752,5.6e+07,D+,14.61564148,18.3532242,9,11,,
Cu,1,333.7843,3.8e+05,C+,1.388948,5.102380,6,8,,
Cu,2,333.86475,2.7e+07,D+,14.39211349,18.1046515,7,9,,
Cu,2,336.56470,2.9e+07,D+,14.42257530,18.1053319,7,9,,
Cu,2,337.045289,4.3e+07,D+,14.42818752,18.1056931,9,11,,
Cu,2,337.49510,4.6e+07,D+,14.69012064,18.3627251,7,9,,
Cu,2,338.07116,3.4e+07,D+,14.69608333,18.3624300,5,7,,
Cu,2,368.65539,9.7e+05,C+,8.48643755,11.8486267,7,9,,
Cu,2,380.6333,1.58e+00,C+,0.0000000,3.25638920,1,5,E2,
Cu,2,388.41313,3.1e+07,D+,14.96299738,18.1541632,7,9,,
Cu,2,388.45350,3.1e+07,D+,15.21855811,18.4093924,5,7,,
Cu,2,390.31759,3.5e+07,D+,14.97602760,18.1516233,9,11,,
Cu,2,392.06561,3.3e+07,D+,15.25214151,18.4135792,7,9,,
Cu,1,402.26286,1.90e+07,C,3.7858977,6.8671955,2,4,,
Cu,2,404.34858,1.14e+06,C+,8.78322249,11.8486267,7,9,,
